Time,Median Sale Price,Median Sale Price MoM,Homes Sold,Homes Sold MoM,New Listings,New Listings MoM,Inventory,Inventory MoM,Days on Market,Days on Market MoM,Average Sale To List%,Average Sale To List MoM,DATE,WDXRSA,US_UR,DMV_UR,DC_UR,FED_EM,FIN_EM,HOS_EM,DC_PER,DMV_PER,DMV_PER_1
2010-Feb,250000.0,11.1,521.0,-3.9,1085.0,-2.3,3346.0,6.5,51,-5.0,98.2,0.4,2010-02-01,180.451676684066,9.8,6.9,9.7,373.44429119566286,96.6460814397718,254.22722196069,60.0,1447.6513017225,821.847523904769
2010-Mar,237000.0,-5.2,786.0,50.9,1681.0,54.9,3670.0,9.7,42,-9.0,98.2,0.0,2010-03-01,179.886192678118,9.9,6.7,9.5,373.911091929738,96.9160944831904,258.398700610235,27.0,1194.39316327242,732.449500530528
2010-Apr,260000.0,9.7,909.0,15.6,1719.0,2.3,3892.0,6.0,28,-14.0,98.1,-0.1,2010-04-01,181.98294011539002,9.9,6.1,9.4,375.43832454283205,96.709392634762,262.204679238931,166.0,1240.54368000575,792.792527081704
2010-May,250000.0,-3.8,988.0,8.7,1029.0,-40.1,3874.0,-0.5,30,2.0,98.0,-0.1,2010-05-01,182.98398484574003,9.6,6.3,9.3,384.432208903521,96.95428726137258,259.99540379312697,15.0,1068.78455717121,646.662504917799
2010-Jun,240000.0,-4.0,962.0,-2.6,1260.0,22.4,3907.0,0.9,35,5.0,98.0,0.0,2010-06-01,183.939947086236,9.4,6.5,9.3,383.827749036246,97.1973887285914,261.04322866981096,8.0,1167.18530733857,768.646617222382
2010-Jul,240000.0,0.0,676.0,-29.7,1110.0,-11.9,3871.0,-0.9,45,10.0,97.8,-0.2,2010-07-01,183.739964376463,9.4,6.4,9.2,383.25106357188486,97.32198401947642,260.842832075103,140.0,1245.5030661479,775.213682025562
2010-Aug,248000.0,3.1,748.0,10.7,973.0,-12.3,3698.0,-4.5,49,4.0,97.7,-0.1,2010-08-01,182.812230616968,9.5,6.3,9.2,383.165840856457,97.3313931139709,261.494020747784,10.0,1058.3812958881801,762.238755649518
2010-Sep,230000.0,-7.1,640.0,-14.4,1205.0,23.8,3783.0,2.3,51,2.0,97.2,-0.5,2010-09-01,182.72641871556198,9.5,6.2,9.3,381.67678933174005,97.30909124121179,263.20390814447603,2.0,1015.7872602237101,734.56821409293
2010-Oct,230000.0,0.0,610.0,-4.7,999.0,-17.1,3666.0,-3.1,55,4.0,97.4,0.2,2010-10-01,183.03816534074198,9.4,6.0,9.3,383.824334019175,97.4617276400552,264.379884513052,30.0,1333.7332546374698,1166.0000150516198
2010-Nov,243000.0,5.7,605.0,-0.8,799.0,-20.0,3453.0,-5.8,51,-4.0,97.4,0.0,2010-11-01,183.474828134892,9.8,6.1,9.4,384.323888017012,97.586041844713,265.23504481500197,1.0,788.9636173863312,614.970433611124
2010-Dec,225000.0,-7.4,647.0,6.9,603.0,-24.5,3082.0,-10.7,53,2.0,97.1,-0.3,2010-12-01,184.14803115699402,9.3,5.9,9.5,384.229655960356,97.4202918228163,266.397773063376,11.0,1066.53137342889,678.63799300351
2011-Jan,220000.0,-2.2,513.0,-20.7,852.0,41.3,2965.0,-3.8,55,2.0,97.4,0.2,2011-01-01,184.31300304173698,9.1,6.4,9.6,384.85500865675203,96.97737573301649,265.921518924219,8.0,1004.86447083638,611.29667239372
2011-Feb,213000.0,-3.3,554.0,8.0,891.0,4.6,2954.0,-0.4,75,20.0,97.4,0.0,2011-02-01,184.123846638303,9.0,6.3,9.8,384.78221599195,97.1402849762237,266.605317284568,3.0,1083.78621371362,657.580684674082
2011-Mar,231000.0,8.4,769.0,38.8,1230.0,38.0,3087.0,4.5,61,-14.0,97.9,0.5,2011-03-01,182.038169481348,9.0,6.1,10.1,384.6182331848529,97.11648029750809,268.242950470062,248.0,972.1779031753888,672.464400826129
2011-Apr,240000.0,4.1,737.0,-4.2,1265.0,2.8,3296.0,6.8,43,-18.0,97.3,-0.6,2011-04-01,180.74096763293,9.1,5.8,10.3,383.675098451502,97.5107616669233,270.306451386745,25.0,1006.3316559266701,750.224422986424
2011-May,250000.0,4.2,751.0,1.9,1062.0,-16.0,3214.0,-2.5,42,-1.0,97.7,0.3,2011-05-01,180.580284109766,9.0,6.1,10.4,383.817391321073,97.2168644365319,268.137658708216,5.0,825.782928262343,606.830620396118
2011-Jun,243000.0,-2.8,845.0,12.5,1110.0,4.5,3203.0,-0.3,43,1.0,97.3,-0.3,2011-06-01,180.61601957751301,9.1,6.5,10.5,383.48007645372803,96.81844481581899,268.655980030409,5.0,867.831399698172,761.1369157729131
2011-Jul,245000.0,0.8,757.0,-10.4,923.0,-16.8,3013.0,-5.9,46,3.0,97.3,0.0,2011-07-01,181.668877895622,9.0,6.3,10.5,382.805324860379,96.747215942289,269.395378661902,25.0,865.4987820665027,835.17016753481
2011-Aug,241000.0,-1.6,778.0,2.8,855.0,-7.4,2862.0,-5.0,48,2.0,97.1,-0.2,2011-08-01,181.80431920605,9.0,6.4,10.4,383.35633578119,96.4564034354204,271.613794358022,18.0,883.107289286553,673.547731004305
2011-Sep,235000.0,-2.5,690.0,-11.3,1027.0,20.1,2925.0,2.2,55,7.0,97.5,0.4,2011-09-01,182.93208433702202,9.0,6.3,10.3,385.767075533526,96.5378803425396,272.071071294295,120.0,926.9802893835921,855.020635152081
2011-Oct,230000.0,-2.1,631.0,-8.6,853.0,-16.9,2739.0,-6.4,48,-7.0,97.5,0.0,2011-10-01,181.27357852781898,8.8,6.0,10.1,380.433744331244,96.5477903969253,273.36997694433603,396.0,1209.16094068008,877.934068147677
2011-Nov,229000.0,-0.4,659.0,4.4,683.0,-19.9,2565.0,-6.4,51,3.0,97.7,0.2,2011-11-01,181.146344336892,8.6,5.8,10.0,377.56032953524806,96.3357636948679,274.962156174375,1.0,960.091822595838,806.97335054938
2011-Dec,225000.0,-1.7,673.0,2.1,521.0,-23.7,2262.0,-11.8,55,4.0,97.6,-0.1,2011-12-01,179.79433006807704,8.5,5.8,9.9,378.503848930334,96.39901679976299,275.34362990473596,24.0,964.142909976845,931.2281917234039
2012-Jan,215000.0,-4.4,522.0,-22.4,806.0,54.7,2187.0,-3.3,63,8.0,97.5,-0.1,2012-01-01,180.07674270545502,8.3,6.2,9.8,379.556173753948,96.44109083274469,276.56959690510604,20.0,1081.43882954484,825.82312722099
2012-Feb,236000.0,9.8,561.0,7.5,907.0,12.5,2202.0,0.7,57,-6.0,97.5,0.0,2012-02-01,178.56163978959202,8.3,6.2,9.6,378.1793559358831,96.595404884122,278.262052755566,5.0,589.060517474293,536.471861238643
2012-Mar,255000.0,8.1,711.0,26.7,1223.0,34.8,2347.0,6.6,41,-16.0,98.0,0.5,2012-03-01,180.33719455383,8.2,5.9,9.4,378.307852763474,96.5071680941836,280.260234401292,274.0,1792.5849557878698,912.020471847117
2012-Apr,252000.0,-1.2,724.0,1.8,1063.0,-13.1,2308.0,-1.7,29,-12.0,98.3,0.3,2012-04-01,182.792719940913,8.2,5.4,9.3,378.197759938417,96.6223926973131,279.953109358194,23.0,1174.7676986875501,915.4007367242019
2012-May,263000.0,4.4,868.0,19.9,1088.0,2.4,2265.0,-1.9,28,-1.0,98.4,0.2,2012-05-01,185.444978419315,8.2,5.7,9.1,377.419181353103,96.48644348720521,280.584734902318,8.0,807.6224871903937,736.9913572354269
2012-Jun,275000.0,4.5,969.0,11.6,1054.0,-3.1,2289.0,1.1,29,1.0,98.1,-0.3,2012-06-01,186.952847514085,8.2,6.1,8.9,377.848611181766,96.5480601182624,281.443894262641,0.0,1002.5837301557301,725.883432292527
2012-Jul,275000.0,0.0,868.0,-10.4,872.0,-17.3,2159.0,-5.7,31,2.0,98.2,0.1,2012-07-01,187.70789730337398,8.2,6.0,8.8,378.638451812687,96.3561790336566,281.960067134151,101.0,1089.0327793271401,719.7835970567619
2012-Aug,270000.0,-1.8,809.0,-6.8,880.0,0.9,2019.0,-6.5,32,1.0,98.2,0.0,2012-08-01,188.33834340868302,8.1,5.9,8.8,378.67924289182406,96.65583862541901,283.358522270553,117.0,1241.63812120616,802.370790001346
2012-Sep,259000.0,-4.0,717.0,-11.4,950.0,8.0,2011.0,-0.4,37,5.0,97.8,-0.4,2012-09-01,188.734244936917,7.8,5.6,8.7,378.7636946614109,97.049141610675,283.89282725598304,17.0,831.934883458916,787.607060695821
2012-Oct,265000.0,2.3,751.0,4.7,844.0,-11.2,1858.0,-7.6,26,-11.0,98.3,0.5,2012-10-01,188.93353985071602,7.8,5.5,8.7,379.082004842692,97.24552588078559,284.54884574882703,11.0,563.007063844027,628.091124362984
2012-Nov,262000.0,-1.2,791.0,5.3,659.0,-21.9,1658.0,-10.8,27,1.0,98.2,-0.1,2012-11-01,189.28135982797002,7.7,5.4,8.7,378.42254810736,97.4228827722093,285.227539940686,45.0,887.962012632724,798.787597400226
2012-Dec,260000.0,-0.7,748.0,-5.4,464.0,-29.6,1440.0,-13.1,37,10.0,98.2,0.0,2012-12-01,190.40130638680301,7.9,5.5,8.7,378.3227557706781,97.5987106725027,286.47204773267003,83.0,651.452295400184,655.751600115678
2013-Jan,257000.0,-1.2,568.0,-24.1,808.0,74.1,1408.0,-2.2,35,-2.0,98.4,0.2,2013-01-01,190.891609517995,8.0,6.0,8.7,377.91112860524004,97.8993840929693,289.34904934963697,472.0,1640.5763252203,749.689905852641
2013-Feb,261000.0,1.6,637.0,12.1,909.0,12.5,1429.0,1.5,30,-5.0,98.7,0.3,2013-02-01,190.64198447252102,7.7,5.8,8.7,377.5419238197129,98.23139371625679,289.831902148969,81.0,1229.9238641329598,747.241747494124
2013-Mar,268000.0,2.6,812.0,27.5,1001.0,10.1,1423.0,-0.4,18,-12.0,99.0,0.4,2013-03-01,193.65467833541598,7.5,5.6,8.7,377.113006754708,98.4108984129465,290.39519627898,161.0,1538.0737621139099,754.387463333618
2013-Apr,284000.0,5.8,882.0,8.6,1342.0,34.1,1622.0,14.0,15,-3.0,99.2,0.1,2013-04-01,195.46368385488304,7.6,5.2,8.6,375.93929990043296,98.8374662711982,290.580641643452,30.0,976.734585885788,686.066766851383
2013-May,287000.0,1.1,1037.0,17.6,1290.0,-3.9,1739.0,7.2,12,-3.0,99.3,0.1,2013-05-01,197.055897864745,7.5,5.5,8.6,375.219666878007,98.97342257230422,290.983081555456,70.0,1560.9418116453198,803.9773189411591
2013-Jun,299000.0,4.4,1044.0,0.7,1176.0,-8.8,1771.0,1.8,14,2.0,99.6,0.3,2013-06-01,197.491591066983,7.5,6.0,8.6,373.412761173433,99.17651889655741,291.699833099964,617.0,1510.36508608463,781.4430149624692
2013-Jul,280000.0,-6.5,965.0,-7.6,1139.0,-3.1,1814.0,2.4,17,3.0,99.2,-0.5,2013-07-01,199.219269363835,7.3,5.8,8.5,371.149259253871,99.24326435222393,292.85931156186,19.0,1800.6333318990698,794.6504588294749
2013-Aug,289000.0,3.4,1079.0,11.8,1048.0,-8.0,1801.0,-0.7,16,-1.0,99.3,0.2,2013-08-01,200.63589755973598,7.2,5.6,8.5,371.31096065006204,99.4042379031954,292.70709489331904,656.0,1516.70189448513,851.559182321237
2013-Sep,290000.0,0.2,799.0,-25.9,1199.0,14.4,1977.0,9.8,19,3.0,99.2,-0.1,2013-09-01,202.50441822567902,7.2,5.5,8.4,371.228855472155,99.2409581107511,293.520224707678,214.0,1127.8828469424302,787.3860820751828
2013-Oct,289000.0,-0.2,829.0,3.8,1056.0,-11.9,2035.0,2.9,20,1.0,99.1,-0.1,2013-10-01,203.42075414153703,7.2,5.8,8.3,370.281692972272,99.25834163612421,291.726346553911,240.0,973.095494993354,821.7873370960381
2013-Nov,280000.0,-3.3,707.0,-14.7,760.0,-28.0,1879.0,-7.7,23,3.0,99.1,0.0,2013-11-01,204.39146078216305,6.9,5.2,8.2,370.052040362076,99.2347767134678,293.889139030301,866.0,2052.7857664592498,744.338958556224
2013-Dec,285000.0,1.8,840.0,18.8,559.0,-26.4,1719.0,-8.5,25,2.0,98.5,-0.6,2013-12-01,205.904630700851,6.7,5.0,8.1,369.87575020998594,99.1165729918655,294.396702919192,427.0,1933.73795595702,935.508751252058
2014-Jan,270000.0,-5.2,550.0,-34.5,860.0,53.8,1688.0,-1.8,40,15.0,98.6,0.1,2014-01-01,206.971311875593,6.6,5.4,8.0,362.738671824451,98.77254020125471,295.070396583961,34.0,1358.75146769875,896.0813474196581
2014-Feb,287000.0,6.3,649.0,18.0,980.0,14.0,1785.0,5.7,35,-5.0,98.5,-0.1,2014-02-01,207.552212592282,6.7,5.5,8.0,362.286668383725,98.3780292720756,294.65081303642995,61.0,1702.67077618246,1082.60684979368
2014-Mar,288000.0,0.3,766.0,18.0,1238.0,26.3,1897.0,6.3,25,-10.0,98.9,0.4,2014-03-01,209.13758781333092,6.7,5.3,7.9,362.186901579699,98.42626411571301,295.713334310147,165.0,1246.70341680933,712.381572854135
2014-Apr,290000.0,0.8,910.0,18.8,1383.0,11.7,2053.0,8.2,18,-7.0,99.0,0.1,2014-04-01,208.26708481456902,6.2,4.7,7.9,361.695009756196,97.5863392807358,297.384576188204,35.0,1465.38724523719,702.192537413641
2014-May,297000.0,2.5,1022.0,12.3,1492.0,7.9,2257.0,9.9,19,1.0,99.1,0.1,2014-05-01,207.90540347543202,6.3,5.1,7.8,361.855471235119,97.920858834541,298.54670356810396,612.0,2228.29608655513,1056.08658490252
2014-Jun,298000.0,0.3,1044.0,2.2,1279.0,-14.3,2349.0,4.1,17,-2.0,98.9,-0.2,2014-06-01,207.551922808992,6.1,5.3,7.8,360.987731937621,98.08063222671619,299.034122504602,349.0,1688.1474584540301,924.680009293622
2014-Jul,285000.0,-4.4,986.0,-5.6,1066.0,-16.7,2394.0,1.9,22,5.0,98.8,-0.2,2014-07-01,206.954132600085,6.2,5.4,7.7,362.183667696222,98.10848956440901,298.668317697428,399.0,1620.8943217495,879.886174781239
2014-Aug,298000.0,4.5,901.0,-8.6,970.0,-9.0,2318.0,-3.2,28,6.0,98.6,-0.2,2014-08-01,206.89250214106002,6.1,5.3,7.7,363.06420039344704,98.21799152294341,299.052866962099,512.0,1975.93143234403,1022.2653054314999
2014-Sep,280000.0,-6.0,781.0,-13.3,1264.0,30.3,2508.0,8.2,31,3.0,98.6,0.0,2014-09-01,206.965128756768,5.9,5.0,7.7,363.319193902167,98.54268193122248,299.741733022198,391.0,1515.3690312643,973.7489726521768
2014-Oct,300000.0,7.1,887.0,13.6,1062.0,-16.0,2456.0,-2.1,27,-4.0,98.3,-0.3,2014-10-01,207.78914492656003,5.7,4.8,7.6,363.838034794889,98.2631934331066,300.298386233574,404.0,1482.15139083124,969.9972225474968
